Office,Candidate,Precinct_1,Precinct_2,Precinct_3,Precinct_4,Precinct_5,Precinct_6,Precinct_7,Precinct_8,Precinct_9,Precinct_10,Precinct_11,Precinct_12,Total
Voter Turnout,Registered voters,1892,2004,1980,2196,1821,1861,2107,1955,1778,2144,2046,2040,23824
Voter Turnout,Voters,255,401,450,622,346,343,549,602,346,318,498,355,5085
CITY COUNCIL PRESIDENT,MARK S. SIDERIS,199,329,365,524,275,298,447,493,281,250,410,307,4178
CITY COUNCIL PRESIDENT,Total number of write-ins,6,5,4,4,4,7,11,10,5,3,16,3,78
CITY COUNCIL PRESIDENT,Times Blank Voted,50,67,81,94,67,38,91,99,60,65,72,45,829
CITY COUNCIL PRESIDENT,Total Ballots,255,401,450,622,346,343,549,602,346,318,498,355,5085
COUNCILOR-AT-LARGE,ANTHONY PALOMBA,162,293,321,433,224,250,356,421,230,176,294,229,3389
COUNCILOR-AT-LARGE,JOHN G. GANNON,156,245,294,409,231,246,353,424,239,218,343,260,3418
COUNCILOR-AT-LARGE,THEOPHILUS OFFEI,161,275,316,386,239,201,304,319,216,173,240,169,2999
COUNCILOR-AT-LARGE,THOMAS J. TRACY,99,137,145,268,134,140,248,278,150,163,274,196,2232
COUNCILOR-AT-LARGE,CAROLINE J. BAYS,154,256,310,409,206,212,322,358,188,155,265,195,3030
COUNCILOR-AT-LARGE,Total number of write-ins,0,4,2,2,4,4,2,2,2,3,4,0,29
COUNCILOR-AT-LARGE,Times Blank Voted,288,394,412,581,346,319,611,606,359,384,572,371,5243
COUNCILOR-AT-LARGE,Total Ballots,255,401,450,622,346,343,549,602,346,318,498,355,5085
DISTRICT A COUNCILOR,NICOLE N. GARDNER,208,346,380,,,,,,,,,,934
DISTRICT A COUNCILOR,Total number of write-ins,3,4,2,,,,,,,,,,9
DISTRICT A COUNCILOR,Times Blank Voted,44,51,68,,,,,,,,,,163
DISTRICT A COUNCILOR,Total Ballots,255,401,450,,,,,,,,,,1106
DISTRICT B COUNCILOR,LISA J. FELTNER,,,,462,264,286,,,,,,,1012
DISTRICT B COUNCILOR,Total number of write-ins,,,,9,12,3,,,,,,,24
DISTRICT B COUNCILOR,Times Blank Voted,,,,151,70,54,,,,,,,275
DISTRICT B COUNCILOR,Total Ballots,,,,622,346,343,,,,,,,1311
DISTRICT C COUNCILOR,VINCENT J. PICCIRILLI JR,,,,,,,412,416,214,,,,1042
DISTRICT C COUNCILOR,ANDRES E. GUZMAN,,,,,,,79,123,105,,,,307
DISTRICT C COUNCILOR,Total number of write-ins,,,,,,,4,1,1,,,,6
DISTRICT C COUNCILOR,Times Blank Voted,,,,,,,54,62,26,,,,142
DISTRICT C COUNCILOR,Total Ballots,,,,,,,549,602,346,,,,1497
DISTRICT D COUNCILOR,EMILY C. IZZO,,,,,,,,,,257,398,279,934
DISTRICT D COUNCILOR,Total number of write-ins,,,,,,,,,,4,8,2,14
DISTRICT D COUNCILOR,Times Blank Voted,,,,,,,,,,57,92,74,223
DISTRICT D COUNCILOR,Total Ballots,,,,,,,,,,318,498,355,1171
SCHOOL COMMITTEE,SHEILA KRISHNAN,165,263,289,361,210,203,322,368,238,146,236,190,2991
SCHOOL COMMITTEE,DAVID M. STOKES,73,130,131,183,108,74,125,175,99,99,169,99,1465
SCHOOL COMMITTEE,JESSICA D. MIDDLEBROOK,153,269,309,406,215,234,328,370,206,177,277,219,3163
SCHOOL COMMITTEE,AMY B. DONOHUE,137,231,250,356,173,197,331,353,185,186,295,222,2916
SCHOOL COMMITTEE,JOSEPH C. GANNO,56,98,116,216,99,123,169,174,94,115,171,139,1570
SCHOOL COMMITTEE,Total number of write-ins,0,2,1,1,3,0,3,2,2,1,1,0,16
SCHOOL COMMITTEE,Times Blank Voted,181,210,254,343,230,198,369,364,214,230,345,196,3134
SCHOOL COMMITTEE,Total Ballots,255,401,450,622,346,343,549,602,346,318,498,355,5085
LIBRARY TRUSTEES,PIA L. OWENS,169,266,322,412,212,201,321,341,231,169,267,193,3104
LIBRARY TRUSTEES,XIN PENG,139,234,290,361,192,203,285,365,212,171,255,187,2894
LIBRARY TRUSTEES,LEANNE HAMMONDS,158,284,307,445,239,256,383,429,241,210,349,246,3547
LIBRARY TRUSTEES,FOWLER M.S. BROWN JR,69,112,91,142,100,91,102,153,97,86,145,99,1287
LIBRARY TRUSTEES,Total number of write-ins,0,3,6,1,3,5,10,1,2,2,4,2,39
LIBRARY TRUSTEES,Times Blank Voted,230,304,334,505,292,273,546,517,255,316,474,338,4384
LIBRARY TRUSTEES,Total Ballots,255,401,450,622,346,343,549,602,346,318,498,355,5085
